stage,policy,backend,rows,quality_n,correct,truncated,invalid_answers,empty_answers,generated_tokens,production_forwards,pseudo_positions,aggregate_forwards_per_second,decode_wall_seconds,request_wall_seconds,mean_request_seconds,mean_prefill_seconds,mean_bootstrap_seconds,mean_generated_tokens,p95_generated_tokens,decode_expert_bytes,prefill_expert_bytes,decode_expert_bytes_per_production_forward,p50_token_ready_seconds,p95_token_ready_seconds,p95_boundary_seconds,p95_nonboundary_seconds,peak_cuda_allocated_bytes,peak_cuda_reserved_bytes,peak_host_rss_bytes
confirmation_performance,E,vllm_fused,40,0,,,,,5160,5120,0,11.505726918352234,444.99578656202357,501.6046356289735,12.540115890724337,1.4151693467247242,0.0,129,129.0,5499094302720,1402365542400,1074041856.0,0.08456953550921753,0.10022262608908931,0.10045942274809931,0.10020914524939144,18256934912,21206401024,86197780480
confirmation_performance,H,vllm_fused,40,0,,,,,5160,5120,0,10.351272024813277,494.62520043205586,551.4269417790347,13.785673544475866,1.4199903913737217,0.31181721770117293,129,129.0,3376199761920,1402365542400,659414016.0,0.08011327349959174,0.19335084570921027,0.09541489504699711,0.19825412065474665,18256959488,21206401024,86197780480
confirmation_performance,S,vllm_fused,40,0,,,,,5160,5120,0,12.251713972945945,417.9007126109791,474.797255327896,11.8699313831974,1.422358435123897,0.3120832024247647,129,129.0,334076313600,1402365542400,65249280.0,0.07666590649751015,0.09160252580040833,0.0915209639526438,0.09161120220524026,18256959488,21206401024,86197780480
confirmation_quality,E,vllm_fused,256,256,250,5,0,0,74181,73925,0,11.487792662309234,6435.091768546932,7205.674423681878,28.147165717507335,1.4410333375935238,0.0,289.76953125,568.75,78879079268352,9161287925760,1067014937.6848427,0.08472441699996125,0.10110853879887145,0.10104061120655387,0.10112477814691374,18383264768,21206401024,86208528384
confirmation_quality,H,vllm_fused,256,256,195,42,0,0,99158,98902,0,10.692262587525006,9249.866358070183,10022.303870329095,39.14962449347303,1.4458164570815484,0.3165344331244455,387.3359375,1024.0,47353892438016,9161287925760,478796105.61986613,0.08109667650569463,0.17691399548930348,0.09624538078787737,0.18216972879890803,18383289344,21206401024,86208720896
confirmation_quality,S,vllm_fused,256,256,141,97,0,0,140845,140589,0,12.337479431159359,11395.277356647945,12170.41822750392,47.54069620118719,1.4468764488987063,0.3165310171715987,550.17578125,1024.0,2170165395456,9161287925760,15436238.93374304,0.07761455999570899,0.09251676040294114,0.09241574069310446,0.09253017425362486,18383289344,21206401024,86208532480
development_performance,E,vllm_fused,24,0,,,,,3096,3072,0,11.440508865217247,268.5195244540082,303.5298159709928,12.647075665458033,1.4587109073327156,0.0,129,129.0,3377822957568,868315299840,1099551744.0,0.08481264549845946,0.10090309810293546,0.09965845199949398,0.10100899514618504,17617347584,19417530368,86197780480
development_performance,H,vllm_fused,24,0,,,,,3096,3072,0,10.511460585975888,292.25243959898216,327.27887033999286,13.636619597499703,1.4593855049591486,0.31702479641747533,129,129.0,1818564231168,868315299840,591980544.0,0.07990924500336405,0.18536825425435371,0.09491811844927724,0.18984409229924495,17617432064,19417530368,86197780480
development_performance,HC,vllm_fused,24,0,,,,,3096,3072,0,10.800409298605434,284.43366497199895,319.447508225996,13.310312842749832,1.4588605682914324,0.32876014699983597,129,129.0,1611210424320,868315299840,524482560.0,0.07989741750134272,0.15076716995281456,0.0950060282531922,0.1560202512493561,17617432064,19417530368,86197780480
development_performance,S,vllm_fused,24,0,,,,,3096,3072,0,12.235311699565194,251.0765622839972,286.1662194019955,11.923592475083145,1.4620178720421488,0.3173526759989424,129,129.0,203786551296,868315299840,66336768.0,0.07645808899542317,0.09110292875229789,0.09067903664436017,0.09113333670175053,17617432064,19417530368,86197780480
development_quality,E,vllm_fused,32,32,29,2,0,0,8261,8229,0,11.593225705472578,709.8110749379703,805.9961284770034,25.187379014906355,1.4455708754383068,0.0,258.15625,467.99999999999994,8818906890240,1150015242240,1071686339.8031353,0.08404003400210058,0.1001024376033456,0.09921200039971154,0.10025390259979758,17661272064,19448987648,86197780480
development_quality,H,vllm_fused,32,32,26,7,0,0,10109,10077,0,10.687393626627259,942.8865775930171,1038.4211266350394,32.45066020734498,1.4489816597820209,0.31601210003123015,315.90625,512.0,5291023269888,1150015242240,525059369.8410241,0.07992688900412759,0.1802439455990679,0.09521129775239387,0.18486964880285084,17661296640,19448987648,86197780480
development_quality,HC,vllm_fused,32,32,24,5,0,0,9346,9314,0,10.960791092785644,849.7561828480102,945.7078851299957,29.553371410312366,1.4461458185935498,0.3267431946881061,292.0625,512.0,4439185293312,1150015242240,476614268.1245437,0.08004969200192136,0.14524899589960116,0.09516006300000299,0.14877978574986628,17661296640,19448987648,86197780480
development_quality,S,vllm_fused,32,32,9,15,0,0,11424,11392,0,12.458535084143104,914.3932190309788,1010.9735717480071,31.59292411712522,1.4489888544071619,0.31567763956240924,357,512.0,270620688384,1150015242240,23755327.280898876,0.07647994099897915,0.0914334178021818,0.09132258600293426,0.09144827240161249,17661296640,19448987648,86197780480
development_quality_cap1024,E,vllm_fused,32,32,30,1,0,0,9089,9057,0,11.530636716676396,785.4726692500117,881.3563158480247,27.54238487025077,1.4433137604378317,0.0,284.03125,610.1999999999997,9569814183936,1150015242240,1056620755.6515403,0.08441277500241995,0.10022129320277598,0.09963248075291631,0.10024710499419598,17763070976,19486736384,86197780480
development_quality_cap1024,H,vllm_fused,32,32,27,7,0,0,13693,13661,0,10.870323196891071,1256.7243634400002,1353.6690839650255,42.30215887390705,1.448576040626449,0.31573377268591685,427.90625,1024.0,6188735397888,1150015242240,453022135.8530122,0.08026877300289925,0.17322898800193798,0.09521873049961868,0.17860799640329791,17763095552,19486736384,86197780480
development_quality_cap1024,HC,vllm_fused,32,32,26,3,0,0,11543,11511,0,11.000436968146099,1046.4129773510213,1143.1026310990346,35.72195722184483,1.44980417362558,0.3273275399069462,360.71875,1024.0,5110754181120,1150015242240,443988722.1892103,0.08054636100132484,0.14184976449905662,0.09531162339844741,0.14529380329076957,17763094528,19486736384,86197780480
development_quality_cap1024,S,vllm_fused,32,32,10,14,0,0,18784,18752,0,12.508811236452631,1499.1032837200182,1596.5684995209886,49.89276561003089,1.449113640844189,0.31548626465678353,587,1024.0,270620688384,1150015242240,14431564.013651878,0.0769065810018219,0.09141661000394379,0.09131690120120765,0.09142475409680628,17763095552,19486736384,86197780480
pseudo_diagnostic_performance,P4,vllm_fused,2,0,,,,,258,256,128,10.537604525024843,24.293946445992333,27.23178692399233,13.615893461996166,1.468863877504191,0.4116450045039528,129,129.0,192839417856,72373764096,753278976.0,0.0803046444998472,0.14501946000746102,0.16348460139925008,0.09647083825184381,17812602368,19604176896,86197780480
pseudo_diagnostic_performance,P8,vllm_fused,2,0,,,,,258,256,256,10.58003221175994,24.196523685008287,27.165569389006123,13.582784694503061,1.4844681389949983,0.5082547319980222,129,129.0,200351416320,72373764096,782622720.0,0.07932004599570064,0.1458257832491654,0.16294848389588878,0.09429031885301811,17807808512,19604176896,86197780480
pseudo_diagnostic_quality,P4,vllm_fused,2,2,2,0,0,0,420,418,216,10.810432097595395,38.666354519999004,44.58351193400449,22.291755967002246,1.453776309004752,0.4095045374997426,210,239.7,317249814528,72373764096,758970848.15311,0.0800461654944229,0.14079001504505867,0.1671274887448817,0.09617192799851182,17907151872,19704840192,86197780480
pseudo_diagnostic_quality,P8,vllm_fused,2,2,2,0,0,0,425,423,432,10.707461432259102,39.50516214100935,46.023567910000565,23.011783955000283,1.4731326019973494,0.4998950570006855,212.5,242.65,328234696704,72373764096,775968550.1276596,0.08017665200168267,0.14456981270341202,0.16370040825495377,0.09615713249513647,17908895744,19717423104,86197780480
pseudo_screen_quality,P4,vllm_fused,8,8,7,1,0,0,2518,2510,1272,10.946693955015345,229.29297286602377,253.75304476098972,31.719130595123715,1.4670396092478768,0.4069773979990714,314.75,764.6499999999996,1761233338368,289438433280,701686588.991235,0.08017161700263387,0.14035813530135782,0.1648771793508786,0.09527524960358277,19533422592,21206401024,86197780480
runtime_grid,E,python_reference,1,0,,,,,17,16,0,5.779579546117733,2.7683674690051703,4.84374550600478,4.84374550600478,2.0753328610007884,0.0,17,17.0,18544066560,35738615808,1159004160.0,0.16702568649998284,0.19931095774882124,0.2055648948007729,0.19208894585208328,17619506688,19417530368,82544046080
runtime_grid,E,vllm_fused,1,0,,,,,17,16,0,12.22909403887421,1.3083553000033135,2.7382590679990244,2.7382590679990244,1.4298622499991325,0.0,17,17.0,18393071616,35663118336,1149566976.0,0.08078049950199784,0.09311611050179636,0.0903145039021183,0.09293827009969391,17621268480,19417530368,82544046080
runtime_grid,H,vllm_fused,1,0,,,,,17,16,0,10.834782070672503,1.4767255949991522,2.8843560270033777,2.8843560270033777,1.407578985003056,0.3102746610020404,17,17.0,13712228352,35663118336,857014272.0,0.06423282649848261,0.2378314549987408,0.07531822565069887,0.2560662893989501,17621301760,19417530368,82544046080
runtime_grid,S,python_reference,1,0,,,,,17,16,0,7.065248760151996,2.264605329997721,4.477137257999857,4.477137257999857,2.2124870129991905,0.31075253099697875,17,17.0,8389656576,35738615808,524353536.0,0.1221753464997164,0.20035735624696827,0.12282742434799729,0.2311047980459988,17619506688,19417530368,82544046080
runtime_grid,S,vllm_fused,1,0,,,,,17,16,0,12.341961377430987,1.2963903799973195,2.701898801002244,2.701898801002244,1.4054725530004362,0.3102944800048135,17,17.0,8370782208,35663118336,523173888.0,0.06158491550013423,0.13947936050499266,0.06188965504770749,0.17049790390483383,17621301760,19417530368,82544046080
